Version,1,,,,,,
Racers,3,,,,,
Rounds,1,,,,,
Heats,3,,,,,
Total Races,3,,,,,
,,,,,,
,,Round 0,,,,
,lanes,1,2,3,,
heat #0,racers,13,14,15,,
,Results,1,2,3,,
,,,,,,
heat #1,racers,14,15,13,,
,Results,2,1,3,,
,,,,,,
heat #2,racers,15,13,14,,
,Results,2,3,1,,
,,,,,,
